id,title,aggregation_type,subtype,cited_by_cnt,publication_name,publisher,volume,coverDate,surname,given_name,affiliation
SCOPUS_ID:85189688066,Alcohol regulated phase change absorbent for efficient carbon dioxide capture: Mechanism and energy consumption,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Wang,Chen,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189660417,Synergistic toxic effects of high-strength ammonia and ZnO nanoparticles on biological nitrogen removal systems and role of exogenous C10-HSL regulation,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Zhao,Runyu,"[{'affilname': 'Southeast University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}, {'affilname': 'Guangdong Institute of Socialism', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189634538,Review of Core-shell structure zeolite-based catalysts for NOx emission control,Journal,Review,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Jia,Lingfeng,"[{'affilname': 'State Key Laboratory of Heavy Oil Processing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Jiangsu University', 'affiliation-city': 'Zhenjiang', 'affiliation-country': 'China'}, {'affilname': 'China University of Petroleum-Beijing', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189564582,Metabolomic and gut-microbial responses of earthworms exposed to microcystins and nano zero-valent iron in soil,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Wang,Yifan,"[{'affilname': 'Zhejiang University', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'affilname': 'College of Environmental and Resource Sciences', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}, {'affilname': 'University of Houston-Clear Lake', 'affiliation-city': 'Houston', 'affiliation-country': 'United States'}, {'affilname': 'Zhejiang Provincial Key Laboratory of Organic Pollution Process and Control', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189543614,N-doped Cu2O with the tunable Cu0 and Cu+ sites for selective CO2 electrochemical reduction to ethylene,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Shen,Yao,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189534159,Efficient electroreduction of carbon dioxide to formate enabled by bismuth nanosheets enriched dual VBi0 vacancy,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Xie,Yuxin,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189525848,Effects of reductive soil disinfestation on potential pathogens and antibiotic resistance genes in soil,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Duan,Huijuan,"[{'affilname': 'Huazhong Agricultural University', 'affiliation-city': 'Wuhan', 'affiliation-country': 'China'}, {'affilname': 'Northwest A&amp;F University', 'affiliation-city': 'Yangling', 'affiliation-country': 'China'}, {'affilname': 'University of Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Research Center for Eco-Environmental Sciences Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]"
SCOPUS_ID:85189516730,Role of urea in the retention of DON in soil by clay minerals: Analysis based upon molecular weight,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Wang,Leyun,"['affilname', 'affiliation-city', 'affiliation-country']"
SCOPUS_ID:85189512562,Source and variability of formaldehyde in the Fenwei Plain: An integrated multi-source satellite and emission inventory study,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Li,Liang,"[{'affilname': 'Northwest Institute of Eco-Environment and Resources', 'affiliation-city': 'Lanzhou', 'affiliation-country': 'China'}, {'affilname': 'Institute of Atmospheric Physics Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}, {'affilname': 'Northwest Normal University China', 'affiliation-city': 'Lanzhou', 'affiliation-country': 'China'}, {'affilname': 'Shaanxi Normal University', 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]"
SCOPUS_ID:85189507830,Impact of atmospheric O3 and NO2 on the secondary sulfates in real atmosphere,Journal,Article,0,Journal of Environmental Sciences (China),Chinese Academy of Sciences,150,2025-04-01,Shi,Kai,"['affilname', 'affiliation-city', 'affiliation-country']"
