,affiliation-city,affiliation-country
3000,Seenlasht,Pakistan
3001,Delemont,Switzerland
3002,Lamongan,Indonesia
3003,Alabama,United States
3004,Kudus,Indonesia
3005,Vaddeswaram,India
3006,Ruse,Bulgaria
3007,Pak Chong,Thailand
3008,Gongju,South Korea
3009,Jeffersonville,United States
3010,Chapeco,Brazil
3011,Culiacan,Mexico
3012,New Iberia,United States
3013,Beaverton,United States
3014,"Map Ta Phut, Rayong",Thailand
3015,Qiryat Shemona,Israel
3016,Johnson City,United States
3017,Rajapalayam,India
3018,Nelson,New Zealand
3019,Takasaki,Japan
3020,Bucaramanga,Colombia
3021,Cotonou,Benin
3022,Poltava,Ukraine
3023,Wilrijk,Belgium
3024,Minya,Egypt
3025,Monte Blanche,Mauritius
3026,Maqabah,Bahrain
3027,Oeiras,Portugal
3028,Shibin Al Kawm,Egypt
3029,Hoogland,Netherlands
3030,Batna,Algeria
3031,Ras al Khaimah,United Arab Emirates
3032,Teddington,United Kingdom
3033,Venjarammoodu,India
3034,Saint-Dizier,France
3035,Oranjestad,Aruba
3036,Machida,Japan
3037,Malappuram,India
3038,Surry Hills,Australia
3039,Shimla,India
3040,Balrampur,India
3041,Bolpur,India
3042,Utrecht,Belgium
3043,Bathurst,Australia
3044,"Chatuchak, Bangkok",Thailand
3045,Zhejiang,China
3046,Samutprakan province,Thailand
3047,Zomba,Malawi
3048,Joensuu,Finland
3049,Samutprakan,Thailand
3050,"Klong Gleua, Pakkred Nonthaburi",Thailand
3051,Pantnagar,India
3052,Jhunjhunun,India
3053,Si Maha Phot,Thailand
3054,Taguig City,Philippines
3055,Wallingford,United Kingdom
3056,Gatineau,Canada
3057,Muzaffarnagar,India
3058,Rancagua,Chile
3059,Paphos,Cyprus
3060,Aix-en-Provence,France
3061,Barranquilla,Colombia
3062,Valmiera,Latvia
3063,Maragheh,Iran
3064,Ado-Ekiti,Nigeria
3065,Jonquiere,Canada
3066,Kristiansand,Norway
3067,101 Reykjavík,Iceland
3068,Jounieh,Lebanon
3069,Sousse,Tunisia
3070,Klaipeda,Lithuania
3071,Serdivan,Turkey
3072,Virginia Beach,United States
3073,Almeria,Spain
3074,Khulna,Bangladesh
3075,Bielsko-Biala,Poland
3076,Miskolc,Hungary
3077,Barbacena,Brazil
3078,New Prague,United States
3079,La Salle,India
3080,Gdansk,Poland
3081,Gyanpur,India
3082,Horten,Norway
3083,Tunceli,Turkey
3084,Tosu,Japan
3085,Al Madinah,Yemen
3086,Mohanpur,India
3087,Mueang,Thailand
3088,Pathein,Myanmar
3089,La Cuesta,Spain
3090,Chiyyedu,India
3091,Pattaya,Thailand
3092,Shibin El Kom,Egypt
3093,Otwock-Cwierk,Poland
3094,Benghazi,Libya
3095,Lethbridge,Canada
3096,Ogbomoso,Nigeria
3097,Guatemala,Guatemala
3098,Osogbo,Nigeria
3099,Bahir Dar,Ethiopia
3100,Mehsana,India
3101,Ambala,India
3102,Hisar,India
3103,Ubon Ratchatani,Thailand
3104,Boulogne-Billancourt,France
3105,Navarra,Spain
3106,Davangere,India
3107,Kasaragod,India
3108,Killybegs,Ireland
3109,Itabuna,Brazil
3110,Ivry-sur-Seine,France
3111,Rize,Turkey
3112,Kangham-Gu,South Korea
3113,Queretaro,Mexico
3114,"Bata Cabs, Selangor",Malaysia
3115,Łód´ z,Poland
3116,La-Réunion,France
3117,A Coruna,Spain
3118,Sault Ste Marie,United States
3119,Braganca,Portugal
3120,Bahia Blanca,Argentina
3121,Lunz am See,Austria
3122,Monterotondo,Italy
3123,Manno,Switzerland
3124,Cankiri,Turkey
3125,Bujumbura,Burundi
3126,Peterborough,Canada
3127,Evora,Portugal
3128,Kirikkale,Turkey
3129,Coleraine,United Kingdom
3130,Oranmore,Ireland
3131,Osie,Poland
3132,Hillerod,Denmark
3133,Brimley,United States
3134,"Bangjak, Prakanong, Bangkok",Thailand
3135,Be’er Ya’akov,Israel
3136,Changa,India
3137,Shirpur,India
3138,Jadcharla,India
3139,Palghar,India
3140,Mianwali,Pakistan
3141,"Brasília, Distrito Federal",Brazil
3142,Herning,Denmark
3143,Randers,Denmark
3144,Holbak,Denmark
3145,Grålum,Norway
3146,Hamar,Norway
3147,Kemiling,Indonesia
3148,Como,Italy
3149,Yala,Thailand
3150,Puente Alto,Chile
3151,Ben Guerir,Morocco
3152,Wuhu City,China
3153,Rohtak,India
3154,Palakkad,India
3155,Pasto,Colombia
3156,Baracaldo,Spain
3157,Glostrup,Denmark
3158,Hong Kong,Taiwan
3159,Santos,Brazil
3160,Vinci,Italy
3161,Inashiki District,Japan
3162,Baoding,China
3163,Kandy,Sri Lanka
3164,Reggio Emilia,Italy
3165,Simferopol,Ukraine
3166,Manizales,Colombia
3167,Ruzomberok,Slovakia
3168,Larissa,Greece
3169,Toscana,Italy
3170,Tula de Allende,Mexico
3171,Tullamore,Ireland
3172,Buon Ma Thuot,Viet Nam
3173,Sabadell,Spain
3174,Santa Cruz do Sul,Brazil
3175,Aracatuba,Brazil
3176,Domodossola,Italy
3177,San Juan,Philippines
3178,Maryville,United States
3179,Ulrika,Sweden
3180,Anshan,China
3181,Esfarāyen,Iran
3182,Yantai,China
3183,Sakai,Japan
3184,Temixco,Mexico
3185,Petah Tiqwa,Israel
3186,Bussolengo (VR),Italy
3187,Barletta,Italy
3188,Kandi,India
3189,Jigjiga,Ethiopia
3190,Itajuba,Brazil
3191,Erfurt,Germany
3192,Takatsuki,Japan
3193,Zwolle,Netherlands
3194,Kilakarai,India
3195,Solihull,United Kingdom
3196,Alton,United Kingdom
3197,Foggia,Italy
3198,Lakeland,United States
3199,Rajam,India
3200,Madera,United States
3201,Bang len,Thailand
3202,Karamsad,India
3203,Garran,Australia
3204,Itapetining,Brazil
3205,Shillong,India
3206,Tumkur,India
3207,Goyangsi,South Korea
3208,Natick,United States
3209,Huangshan,China
3210,Tanjung Pinang,Indonesia
3211,"Kolonia, Palikir",Federated States of Micronesia
3212,"Chromepet, Chennai",India
3213,Luzern,Switzerland
3214,Chitose,Japan
3215,Novocherkassk,Russian Federation
3216,Samborondon,Ecuador
3217,Commack,United States
3218,Nunar,India
3219,Mittelhausen,Switzerland
3220,Jeju,South Korea
3221,Talca,Chile
3222,Weno,Federated States of Micronesia
3223,Hillsboro,United States
3224,Puerto Montt,Chile
3225,Erie,United States
3226,Irving,United States
3227,Dublin,United States
3228,Christchurch,United Kingdom
3229,Tuyong,Thailand
3230,Paknam,Thailand
3231,Vernier,Switzerland
3232,Mountain Brook,United States
3233,Newtown,India
3234,Damghan,Iran
3235,Khyber Pakhtunkhwa,Pakistan
3236,Golnik,Slovenia
3237,Cartagena,Colombia
3238,Langen,Germany
3239,Mantova,Italy
3240,Torrette,Italy
3241,Padermo Dugnano,Italy
3242,Satara,India
3243,Wang-mai District,Thailand
3244,Lhasa,China
3245,Nyingchi,China
3246,Central,Hong Kong
3247,Byblos,Lebanon
3248,and Las Vegas,United States
3249,Toki,Japan
3250,Ternate,Indonesia
3251,Unwana,Nigeria
3252,Tirunelveli,India
3253,Prachuap Khirikhan,Thailand
3254,Sialkot,Pakistan
3255,Mohmand,Pakistan
3256,Buner,Pakistan
3257,Wah,Pakistan
3258,Biratnagar,Nepal
3259,Rampur,Nepal
3260,Neijiang,China
3261,Aubière,France
3262,Adama,Ethiopia
3263,San Lorenzo,Paraguay
3264,Santiago,Cape Verde
3265,Edison,United States
3266,Kirishima,Japan
3267,Miyakonojo,Japan
3268,Plodiv,Bulgaria
3269,Chenzhou,China
3270,West Chester,United States
3271,Tan Hiep Ward,Viet Nam
3272,Kiryat Bialik,Israel
3273,Phoeniz,United States
3274,Nakorn,Thailand
3275,Aiken,United States
3276,Viña del Mar,Chile
3277,Agona,Ghana
3278,St Albans,Australia
3279,Whangarei,New Zealand
3280,Venlo,Netherlands
3281,Bikaner,India
3282,Mahasarakam,Thailand
3283,Sakaeo,Thailand
3284,Bronx,United States
3285,Cavite City,Philippines
3286,Jal Eddib,Lebanon
3287,Assomada,Cape Verde
3288,Welwyn Garden City,United Kingdom
3289,Kherva,India
3290,Balmullo,United Kingdom
3291,Viedma,Argentina
3292,Kanglung,Bhutan
3293,Radford,United States
3294,Pusa,India
3295,Angeles City,Philippines
3296,Lipa City,Philippines
3297,Lianga,Philippines
3298,Udaipur,India
3299,Palampur,India
3300,Hanzhong,China
3301,Fontainebleau,France
3302,Kerikeri,New Zealand
3303,Kawagoe,Japan
3304,Iwatsuki,Japan
3305,Narita,Japan
3306,Ife,Nigeria
3307,La Paz,Spain
3308,Angamaly,India
3309,Suzaka,Japan
3310,Kakegawa,Japan
3311,Haugesund,Norway
3312,Al-Qadisiyah,Iraq
3313,"Kupang, Timor",Indonesia
3314,Ma'an,Jordan
3315,Bho Ploi,Thailand
3316,Petropolis,Brazil
3317,Rivadavia,Argentina
3318,Newtown,Australia
3319,Las Cruces,United States
3320,Helena-West Helena,United States
3321,Monswiller,France
3322,Wolfach,Germany
3323,Haridwar,India
3324,Rajkot,India
3325,Bardoli,India
3326,Rotorua,New Zealand
3327,Nashik,India
3328,Buldana,India
3329,Ampang,Malaysia
3330,Minami-saitama District,Japan
3331,Belihuloya,Sri Lanka
3332,Ratnapura,Sri Lanka
3333,Aceh,Indonesia
3334,Rajouri,India
3335,My Tho,Viet Nam
3336,Azogues,Ecuador
3337,Tihany,Hungary
3338,Vacratot,Hungary
3339,Cyberjaya,Malaysia
3340,Gonabad,Iran
3341,Safat,Kuwait
3342,Monforte de Lemos,Spain
3343,Naawan,Philippines
3344,Wichita Falls,United States
3345,Famagusta,Turkey
3346,Nancy,United States
3347,Skopje,Serbia
3348,Troisdorf,Germany
3349,Daisen-shi,Japan
3350,Pokhara,Nepal
3351,Butwal,Nepal
3352,Samutsakhon,Thailand
3353,Cagayan de Oro City,Philippines
3354,El Hadjar,Algeria
3355,Lambarene,Gabon
3356,Michigan City,United States
3357,Piraeus,Greece
3358,Cesena,Italy
3359,Monza,Italy
3360,Peschiera del Garda,Italy
3361,Cona,Italy
3362,Cuenca,Ecuador
3363,Manresa,Spain
3364,Gomel,Belarus
3365,Mestre,Italy
3366,Piacenza,Italy
3367,Parker,United States
3368,Cuneo,Italy
3369,Aden,Yemen
3370,Forli,Italy
3371,Biella,Italy
3372,Leganes,Spain
3373,Kaliningrad,Russian Federation
3374,Vila Nova de Gaia,Portugal
3375,Chernivtsi,Ukraine
3376,Fuenlabrada,Spain
3377,Ponta Grossa,Brazil
3378,Clamart,France
3379,Kavala,Greece
3380,Orbetello,Italy
3381,Harper,Liberia
3382,"Milan, Magenta",Italy
3383,Putyla,Ukraine
3384,Ciudad AutÃ3noma de Buenos Aires,Argentina
3385,Krakaw,Poland
3386,"Aviano, Rome",Italy
3387,SÃ£o JosÃ© dos Campos,Brazil
3388,Sant Joan DespÃ,Spain
3389,VITTORIO VENETO,Italy
3390,Francavilla Fontana,Italy
3391,A CoruÃ±a,Spain
