,affiliation-city,affiliation-country
1726,Bad Zurzach,Switzerland
1727,Macclesfield,United Kingdom
1728,Kenitra,Morocco
1729,Long Beach,United States
1730,Cao Lãnh City,Viet Nam
1731,Fountain Valley,United States
1732,Kanjanaburi,Thailand
1733,Worms,Germany
1734,Vallendar,Germany
1735,Mus,Turkey
1736,St Augustine,Trinidad and Tobago
1737,Wooster,United States
1738,Buon Ma Thuot City,Viet Nam
1739,Boone,United States
1740,Wiener Neustadt,Austria
1741,Jhansi,India
1742,Baoji,China
1743,Nagaram,India
1744,Jabalpur,India
1745,Vadodara,India
1746,Hyderabad-Telangana,India
1747,Krishna,India
1748,Kavali,India
1749,Nan,Thailand
1750,Chung-Li,China
1751,Yangling,China
1752,Eberbach,Germany
1753,Prachinburi,Thailand
1754,Rathmalana,Sri Lanka
1755,Redlands,United States
1756,,Laos
1757,Savannakhet,Laos
1758,Gunma Prefecture,Japan
1759,Kingsville,United States
1760,Koper,Slovenia
1761,"Meta, Villavicencio",Colombia
1762,Issaquah,United States
1763,Newbury,United Kingdom
1764,Clichy,France
1765,Sandton,South Africa
1766,Sandy Bay,Australia
1767,Bartin,Turkey
1768,Yinchuan,China
1769,Caxias do Sul,Brazil
1770,Sayo District,Japan
1771,Valence,France
1772,Tiruchirappalli,India
1773,Pakhtunkhwa,Pakistan
1774,Zunyi,China
1775,Kepala Batas,Malaysia
1776,Kunitachi,Japan
1777,Uttaradit,Thailand
1778,Munoz,Philippines
1779,Pingtung,Taiwan
1780,Guilin,China
1781,Halabja,Iraq
1782,Sulaymaniyah,Iraq
1783,Coopers Plains,Australia
1784,Pocheon,South Korea
1785,Muan,South Korea
1786,Vandoeouvre-les-Nancy,France
1787,Mardan,Pakistan
1788,Hidaka,Japan
1789,Asan,South Korea
1790,Logan,United States
1791,Rapid City,United States
1792,Saitama,Japan
1793,Vallabh Vidyanagar,India
1794,Nitra,Slovakia
1795,Qufu,China
1796,Oy-Mittelberg,Germany
1797,Nimes,France
1798,Villetaneuse,France
1799,Hosur,India
1800,Narathiwat,Thailand
1801,Cape Coast,Ghana
1802,Mbarara,Uganda
1803,Manaus,Brazil
1804,Fort Detrick,United States
1805,Lulea,Sweden
1806,Amer,Spain
1807,Wad Medani,Sudan
1808,Jimma,Ethiopia
1809,Parakou,Benin
1810,Siem Reap,Cambodia
1811,Maharagama,Sri Lanka
1812,Odessa,Ukraine
1813,Dali,China
1814,Lome,Togo
1815,Tripoli,Libya
1816,Lubumbashi,Democratic Republic Congo
1817,Tirana,Albania
1818,Ouagadougou,Burkina Faso
1819,Moshi,Tanzania
1820,Padang,Indonesia
1821,Brno,Czech Republic
1822,Port Harcourt,Nigeria
1823,Calabar,Nigeria
1824,Ilorin,Nigeria
1825,Varanasi,India
1826,Antananarivo,Madagascar
1827,Niamey,Niger
1828,,Timor-Leste
1829,Karbala,Iraq
1830,Nouakchott,Mauritania
1831,Gitarama,Rwanda
1832,,Democratic Republic Congo
1833,Luanda,Angola
1834,Santa Cruz,Bolivia
1835,Libreville,Gabon
1836,Bamenda,Cameroon
1837,,Afghanistan
1838,Bangui,Central African Republic
1839,Oran,Algeria
1840,Bishkek,Kyrgyzstan
1841,Adam Barka,Chad
1842,,Haiti
1843,Basra,Iraq
1844,Nampula,Mozambique
1845,Quelimane,Mozambique
1846,Kaduna,Nigeria
1847,Arequipa,Peru
1848,Molepolole,Botswana
1849,Kiev,Ukraine
1850,Bamako,Mali
1851,Beira,Mozambique
1852,Asuncion,Paraguay
1853,Stockholn,Sweden
1854,Port Moresby,Papua New Guinea
1855,Sana'a,Yemen
1856,Guayaquil,Ecuador
1857,San Salvador,El Salvador
1858,Ndola,Zambia
1859,Guatemala City,Guatemala
1860,Mombasa,Kenya
1861,"Siteki, Eswatini",Swaziland
1862,Managua,Nicaragua
1863,,Burundi
1864,Surakarta,Indonesia
1865,,Singapore
1866,Hakodate,Japan
1867,Khuzdar,Pakistan
1868,Downderry,United Kingdom
1869,Nova Gorica,Slovenia
1870,Guri,South Korea
1871,Shantou,China
1872,Luang Prabang Province,Laos
1873,Loei,Thailand
1874,Ivano-Frankivsk,Ukraine
1875,Sakakah,Saudi Arabia
1876,Bellevue,United States
1877,Kediri,Indonesia
1878,Ludwigsburg,Germany
1879,Valley City,United States
1880,"Nha Trang, Khanh Hoa",Viet Nam
1881,Jember,Indonesia
1882,Grenoble,France
1883,Dessau-Rosslau,Germany
1884,Observatory,South Africa
1885,Palestine,Palestine
1886,Salisbury,United States
1887,Kuroishi,Japan
1888,Koriyama,Japan
1889,Piscataway,United States
1890,Xiangtan,China
1891,Namur,Belgium
1892,Banja Luka,Bosnia and Herzegovina
1893,Shiraz,Iran
1894,Al Bayda,Libya
1895,Hadera,Israel
