,affiliation-city,affiliation-country
1000,Nancy,France
1001,Kansas City,United States
1002,Baku,Azerbaijan
1003,Ruston,United States
1004,Bucharest,Romania
1005,Rabat,Morocco
1006,Clermont-Ferrand,France
1007,Povo,Italy
1008,La Plata,Argentina
1009,Giresun,Turkey
1010,Saint Martin d'Heres,France
1011,Nablus,Palestine
1012,Albuquerque,United States
1013,Dortmund,Germany
1014,Marakech,Morocco
1015,Upton,United States
1016,Sao Joao del Rei,Brazil
1017,Stony Brook,United States
1018,Udine,Italy
1019,Fribourg,Switzerland
1020,Siegen,Germany
1021,Brasov,Romania
1022,Wuppertal,Germany
1023,Rende,Italy
1024,Birmingham,United Kingdom
1025,Chambery,France
1026,Hsinchu,Taiwan
1027,Gaziantep,Turkey
1028,Rehovot,Israel
1029,Mytilene,Greece
1030,Giessen,Germany
1031,Waltham,United States
1032,Thessaloniki,Greece
1033,Iasi,Romania
1034,,Canada
1035,Oujda,Morocco
1036,Eugene,United States
1037,DeKalb,United States
1038,Richardson,United States
1039,Porto,Portugal
1040,Valparaíso,Chile
1041,Victoria,Canada
1042,Fresno,United States
1043,Juiz de Fora,Brazil
1044,Timisoara,Romania
1045,Wageningen,Netherlands
1046,Buriram,Thailand
1047,Kitaadachi District,Japan
1048,,France
1049,Koganei,Japan
1050,Saraburi,Thailand
1051,Nakorn Si Thammarat,Thailand
1052,Trat,Thailand
1053,Manama,Bahrain
1054,Lincoln,New Zealand
1055,Nanchang,China
1056,Klagenfurt,Austria
1057,Tampere,Finland
1058,Tacoma,United States
1059,Kiyose,Japan
1060,Camden,United States
1061,La Victoria,Peru
1062,Vitoria-Gasteiz,Spain
1063,Middlesbrough,United Kingdom
1064,Alcala de Henares,Spain
1065,Odense,Denmark
1066,Aalborg,Denmark
1067,Hvidovre,Denmark
1068,Fitzroy,Australia
1069,Chaidari,Greece
1070,Springfield,United States
1071,Cairns,Australia
1072,Terrassa,Spain
1073,Collegeville,United States
1074,Washington,Thailand
1075,Eldoret,Kenya
1076,Tenri,Japan
1077,Meru,Kenya
1078,Kawaguchi,Japan
1079,Sasebo,Japan
1080,Yufu,Japan
1081,Chanthaburi,Thailand
1082,Noida,India
1083,,Viet Nam
1084,Mason,United States
1085,Syracuse,United States
1086,Wroclaw,Poland
1087,Miyazaki,Japan
1088,Lucknow,India
1089,Worthing,United Kingdom
1090,Brentford,United Kingdom
1091,Guadalajara,Mexico
1092,Tlalpan,Mexico
1093,Clayton,Australia
1094,Bac Lieu City,Viet Nam
1095,Sirnak,Turkey
1096,Burdur,Turkey
1097,Podgorica,Montenegro
1098,Godollo,Hungary
1099,Zhengzhou,China
1100,Vallejo,United States
1101,Villaviciosa de Odon,Spain
1102,,Spain
1103,Muscat,Oman
1104,Stavanger,Norway
1105,Jyvaskyla,Finland
1106,Ostrava,Czech Republic
1107,Kiel,Germany
1108,Visakhapatnam,India
1109,Ulm,Germany
1110,Eger,Hungary
1111,Shuwaikh,Kuwait
1112,Mangalore,India
1113,Esplugues de Llobregat,Spain
1114,Pitesti,Romania
1115,Ladkrabang,Thailand
1116,Tunis,Tunisia
1117,Campo Grande,Brazil
1118,Charlotte (Skidegate),United States
1119,Newtown,United States
1120,Makassar,Indonesia
1121,Aranyaprathet,Thailand
1122,Nagakute,Japan
1123,Carlow,Ireland
1124,Swindon,United Kingdom
1125,Exeter,United Kingdom
1126,Zhenjiang,China
1127,Situbondo Regency,Indonesia
1128,Lanzhou,China
1129,Oklahoma City,United States
1130,Karaikudi,India
1131,Bonab,Iran
1132,Ardabil,Iran
1133,Callaghan,Australia
1134,Belo Horizonte,Brazil
1135,Blantyre,Malawi
1136,Liverpool,Australia
1137,Kaunas,Lithuania
1138,Kinshasa,Democratic Republic Congo
1139,Omdurman,Sudan
1140,Kodaira,Japan
1141,York,United Kingdom
1142,Karlskrona,Sweden
1143,Durango,Mexico
1144,Enugu,Nigeria
1145,Daytona Beach,United States
1146,Torrejon de Ardoz,Spain
1147,Neuville-sur-Oise,France
1148,Blacksburg,United States
1149,Urumqi,China
1150,Sonora,Mexico
1151,Cuernavaca,Mexico
1152,Herne,Germany
1153,Malmo,Sweden
1154,Immokalee,United States
1155,Glendale,United States
1156,Belgaum,India
1157,St Petersburg,United States
1158,Commerce,Pakistan
1159,Nibong Tebal,Malaysia
1160,Falls Church,United States
1161,Selangor Darul Ehsan,Malaysia
1162,Mol,Belgium
1163,Norrkoping,Sweden
1164,Jilin,China
1165,Phoenix,United States
1166,Seongnam,South Korea
1167,Pleasanton,United States
