original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,street,name,county_code,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
4090,North Bethesda,United States,39.0461292,-77.1130097,"North Bethesda, MD, United States of America",,,North Bethesda,,,MD,,North Bethesda,Montgomery County,Maryland,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4091,Princeton Junction,United States,40.3173301,-74.6198791,"Princeton Junction (West Windsor), NJ 08537, United States of America",,,Princeton Junction,,,NJ,08537,West Windsor,Mercer County,New Jersey,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4092,Ottawa,United States,41.3516628,-88.845436,"Ottawa, IL 61350, United States of America",,,,,,IL,61350,Ottawa,LaSalle County,Illinois,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4093,Gwacheon,South Korea,37.4289037,126.9881655,"Gwacheon-si, South Korea",,,,,,,,Gwacheon-si,Gyeonggi,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4094,Antalya,Turkey,36.8864752,30.7029585,"07386 Muratpaşa (Antalya), Turkey",,,Antalya,,,,07386,Antalya,Antalya,Mediterranean Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4095,Suitland,United States,38.848724,-76.9238625,"Suitland, MD 20233, United States of America",,,Suitland,,,MD,20233,Suitland,Prince George's County,Maryland,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4096,Schlieren,Switzerland,47.3965147,8.4444861,"8952 Schlieren, Switzerland",,,,,,,8952,Schlieren,Bezirk Dietikon,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4097,Centre Ville,Tunisia,36.4522902,10.7318254,"Centre-Ville, نيابوليس, Tunisia",Centre-Ville,,Centre-Ville,,,,8000,,نيابوليس,Nabeul,Tunisia,tn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4098,Balasore,India,21.5017098,86.9216712,"Balasore - 756001, OR, India",,,Balasore,,,OR,756001,Balasore,Baleshwar (M),Odisha,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4099,Kamakura,Japan,35.329564,139.54442,"Kamakura, Japan",,,,,,,,Kamakura,Kanagawa Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
