original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,street,name,county_code,suburb,state_code,postcode,city,county,state,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
4176,Falun,Sweden,60.6070068,15.6323059,"791 30 Falun, Sweden",,,Falun,,,,791 30,Falun,Dalarna County,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4177,Evry,France,48.26406,3.25604,"89140 Évry, France",,,,,,BFC,89140,Évry,Yonne,Bourgogne-Franche-Comté,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4178,Tsing Yi Island,Hong Kong,22.35,114.1,"Kwai Tsing District, New Territories, Hong Kong S.A.R.",,,,,,,,Kwai Tsing District,Kwai Tsing,New Territories,Hong Kong S.A.R.,hk,0.25,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4179,Anand,India,22.5586555,72.9627227,"Anand - 388001, GJ, India",,,Anand,,,GJ,388001,Anand,Anand City Taluka,Gujarat,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4180,Sankt Polten,Austria,48.2043985,15.6229118,"St. Pölten, Lower Austria, Austria",,,,,,,,St. Pölten,,Lower Austria,Austria,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4181,Koronadal City,Philippines,6.5004067,124.8435427,"Koronadal, 9506 South Cotabato, Philippines",,,,,,,9506,Koronadal,,South Cotabato,Philippines,ph,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4182,Rajgir,India,25.0299973,85.4207368,"Rajgir - 803117, BR, India",,,,,,BR,803117,Rajgir,Nalanda District,Bihar,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4183,Deoghar,India,24.4898318,86.6990182,"Deoghar - 814112, JH, India",,,Deoghar,,,JH,814112,Deoghar,Deoghar,Jharkhand,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4184,Howrah,India,22.5736296,88.3251045,"Howrah, WB, India",,,,,,WB,,Howrah,Howrah District,West Bengal,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4185,Huizhou,China,23.1146515,114.4107202,"Huizhou, Guangdong Province, China",,,,,,,,Huizhou,,Guangdong Province,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4186,Pleasant Hill,United States,38.794218,-94.24767233975314,"Pleasant Hill, MO, United States of America",,,,,,MO,,Pleasant Hill,Cass County,Missouri,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4187,Jishou,China,28.265262,109.6938658,"Jishou, Hunan, China",,,Jishou,,,,,Jishou,Jishou,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4188,Hermiston,United States,45.8404101,-119.28946,"Hermiston, OR 97838, United States of America",,,,,,OR,97838,Hermiston,Umatilla County,Oregon,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4189,Xinhua,China,27.7296662,111.3219045,"Xinhua, 417625 Hunan, China",,,Xinhua,,,,417625,Xinhua,,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4190,Nowshera,Pakistan,34.0155606,71.981283,"Nowshera, KP, Pakistan",,,Nowshera,,,KP,,Nowshera,Nowshera District,Khyber Pakhtunkhwa,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4191,Visselhovede,Germany,52.9849747,9.5777771,"27374 Visselhövede, Germany",,,,,,,27374,Visselhövede,Landkreis Rotenburg (Wümme),Lower Saxony,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4192,Aberdeen,United States,46.975371,-123.815722,"Aberdeen, WA, United States of America",,,,,,WA,,Aberdeen,Grays Harbor County,Washington,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4193,Kairouan,Tunisia,35.6710101,10.10062,"3172 Kairouan, Tunisia",,,Kairouan,,,,3172,Kairouan,القبلية الجنوبية,Kairouan,Tunisia,tn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4194,Valldoreix,Spain,41.4599073,2.050516,"Valldoreix, Sant Cugat del Vallès, Catalonia, Spain",Valldoreix,,Valldoreix,B,,,08197,Sant Cugat del Vallès,Vallès Occidental,Catalonia,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4195,Zielona Gora,Poland,51.9383777,15.5050408,"Zielona Góra, Lubusz Voivodeship, Poland",,,,,,,,Zielona Góra,,Lubusz Voivodeship,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4196,Zittau,Germany,50.8960964,14.8064807,"Zittau, Saxony, Germany",,,,,,,,Zittau,Görlitz - Zhorjelc,Saxony,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4197,Holdorf,Germany,53.729888,11.0629474,"Holdorf, MV, Germany",,,,,,MV,,Holdorf,Nordwestmecklenburg,Mecklenburg-Vorpommern,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4198,Maringa,Brazil,-23.425269,-51.9382078,"Maringá, PR, Brazil",,,,,,PR,,Maringá,Região Geográfica Intermediária de Maringá,Paraná,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4199,Maceio,Brazil,-9.6476843,-35.7339264,"Maceió, AL, Brazil",,,,,,AL,,Maceió,Região Geográfica Intermediária de Maceió,Alagoas,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4200,Kashi,China,39.4665981,75.9900135,"844000 Xinjiang, China",,,,,,,844000,Kashgar City,,Xinjiang,China,cn,0.5714285714285714,0.5714285714285714,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4201,Medchal,India,17.6339929,78.4843146,"Medchal (Medchal) - 501400, TG, India",,,Medchal,,,TG,501400,Medchal,Medchal mandal,Telangana,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4202,Yining,China,43.9758097,81.5245233,"Yining, Xinjiang, China",,,Yining,,,,,Yining,Yining County,Xinjiang,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4203,Kelambakkam,India,12.7871437,80.219987,"Kelambakkam - 603103, TN, India",,,Kelambakkam,,,TN,603103,Kelambakkam,Chengalpattu District,Tamil Nadu,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4204,Abomey,Benin,7.1820012,1.993632,"Abomey, Zou Department, Benin",,,Abomey,,,,,Abomey,Abomey,Zou Department,Benin,bj,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4205,Linquan,China,33.0421611,115.2575586,"Linquan, Anhui, China",,,Linquan,,,,,Linquan,,Anhui,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4206,Martonvasar,Hungary,47.3299049,18.7687291,"Martonvásár, Martonvásári járás, Central Transdanubia, Hungary",,,,,Martonvásár,,2462,Martonvásári járás,Fejér,Central Transdanubia,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4207,Kennesaw,United States,34.0234337,-84.6154897,"Kennesaw, GA 30144, United States of America",,,,,,GA,30144,Kennesaw,Cobb County,Georgia,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4208,Jingdezhen,China,29.2712774,117.1727822,"Changjiang District, Jingdezhen, Jiangxi, China",Changjiang District,,Jingdezhen,,,,,Jingdezhen,,Jiangxi,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4209,Kontich,Belgium,51.1353297,4.4454784,"2550 Kontich, Belgium",,,,,,,2550,Kontich,Antwerp,Antwerp,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4210,Tebessa,Algeria,35.4035956,8.1212322,"12000 Tebessa, Algeria",,,,,,,12000,Tebessa,Tébessa District,Tébessa,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4211,Jamia Hamdard,India,28.5153806,77.2502919,"Jamia Hamdard, Guru Ravidas Marg, Kalkaji, Delhi - 110080, DL, India",DDA Flats,Guru Ravidas Marg,Jamia Hamdard,,Kalkaji,DL,110080,Delhi,Kalkaji Tehsil,Delhi,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4212,Scotts Valley,United States,37.0510595,-122.014684,"Scotts Valley, CA 95066, United States of America",,,,,,CA,95066,Scotts Valley,Santa Cruz County,California,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4213,Kissimmee,United States,28.2918995,-81.4075838,"Kissimmee, FL, United States of America",,,,,,FL,,Kissimmee,Osceola County,Florida,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4214,Ruschlikon,Switzerland,47.307465,8.5546421,"8803 Rüschlikon, Switzerland",,,,,,,8803,Rüschlikon,Bezirk Horgen,Zurich,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4215,Bolu,Turkey,40.7332953,31.6110479,"Bolu, Black Sea Region, Turkey",,,,,,,,Bolu,Bolu,Black Sea Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4216,Bilecik,Turkey,40.1435101,29.9752911,"Bilecik Merkez, Marmara Region, Turkey",,,,,,,,Bilecik Merkez,Bilecik,Marmara Region,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4217,Markham,Canada,43.8563707,-79.3376825,"Markham, ON, Canada",,,,,,ON,,Markham,York Region,Ontario,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4218,Winona,United States,44.0500054,-91.6392294,"Winona, MN 55987, United States of America",,,,,,MN,55987,Winona,Winona County,Minnesota,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4219,Yongzhou,China,26.423568,111.6081495,"Lengshuitan District, Yongzhou, Hunan, China",Lengshuitan District,,Yongzhou,,,,,Yongzhou,,Hunan,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4220,Putignano,Italy,40.8492021,17.1226371,"70017 Putignano, Italy",,,,BA,,,70017,Putignano,Bari,Apulia,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4221,Barum,Norway,61.356908,9.680372,Norway,,,Norway,,,,,,,,Norway,no,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
4222,Santa Rosa,Argentina,-36.6203503,-64.2905765,"Santa Rosa, L, Argentina",,,,,,L,,Santa Rosa,Departamento Capital,La Pampa,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4223,Villa Elisa,Argentina,-32.1631324,-58.4004902,"E3265 Villa Elisa, Argentina",,,,,,,E3265,Villa Elisa,Distrito Segundo,Entre Ríos Province,Argentina,ar,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4224,Taraz,Kazakhstan,42.9015945,71.3769302,"Taraz, Jambyl Region, Kazakhstan",,,,,,,,Taraz,,Jambyl Region,Kazakhstan,kz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4225,Shymkent,Kazakhstan,42.3146962,69.5883282,"Shymkent, Kazakhstan",,,,,,,,Shymkent,,,Kazakhstan,kz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
