original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,name,street,postcode,county_code,district,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
1131,Bonab,Iran,36.5834039,48.6793556,"بخش مرکزی, Bonab, Zanjan Province, Iran",Bonab,,,,بخش مرکزی,,Bonab,Zanjan County,Zanjan Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1132,Ardabil,Iran,38.2515581,48.2972269,"بخش مرکزی, Ardabil, Ardabil Province, Iran",,,,,بخش مرکزی,,Ardabil,Ardabil city,Ardabil Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1133,Callaghan,Australia,-32.8927988,151.7011832,"Callaghan, Newcastle-Maitland, NSW, Australia",,,2308,,,Callaghan,Newcastle-Maitland,,New South Wales,NSW,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1134,Belo Horizonte,Brazil,-19.9227318,-43.9450948,"Belo Horizonte, MG, Brazil",,,,,,,Belo Horizonte,Região Metropolitana de Belo Horizonte,Minas Gerais,MG,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1135,Blantyre,Malawi,-15.7862543,35.0035694,"Blantyre, Malawi",Blantyre,,,,,,Blantyre,,Blantyre,,Malawi,mw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1136,Liverpool,Australia,-33.9198252,150.92566,"Liverpool (Sydney) NSW 2170, Australia",,,2170,,,,Sydney,,New South Wales,NSW,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1137,Kaunas,Lithuania,54.8982139,23.9044817,"Kaunas, Kaunas County, Lithuania",,,,,,,Kaunas,Kauno miesto savivaldybė,Kaunas County,,Lithuania,lt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1138,Kinshasa,Democratic Republic Congo,-4.32142,15.30807,"Kinshasa, Kinshasa City, Democratic Republic of Congo",,,,,,,Kinshasa,,Kinshasa City,,Democratic Republic of Congo,cd,0,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1139,Omdurman,Sudan,15.6445536,32.4777311,"Omdurman, Khartoum State, Sudan",,,,,,,Omdurman,,Khartoum State,,Sudan,sd,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1140,Kodaira,Japan,35.72522,139.476606,"Kodaira, Japan",,,,,,,Kodaira,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1141,York,United Kingdom,53.9590555,-1.0815361,"York, YO1 8RS, United Kingdom",York,,YO1 8RS,YOR,,,York,York,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1142,Karlskrona,Sweden,56.1621073,15.5866422,"371 13 Karlskrona, Sweden",Karlskrona,,371 13,,,,Karlskrona,Blekinge County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1143,Durango,Mexico,24.022008,-104.654741,"Durango, DUR, Mexico",,,,,,,Durango,Municipio de Durango,Durango,DUR,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1144,Enugu,Nigeria,6.4499833,7.5000007,"Enugu 400102, Enugu State, Nigeria",Enugu,,400102,,,,Enugu,Enugu North,Enugu State,,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1145,Daytona Beach,United States,29.2108147,-81.0228331,"Daytona Beach, FL, United States of America",,,,,,,Daytona Beach,Volusia County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1146,Torrejon de Ardoz,Spain,40.4587767,-3.4793343,"Torrejón de Ardoz, Madrid, Spain",,,,,,,Torrejón de Ardoz,,Community of Madrid,,Spain,es,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1147,Neuville-sur-Oise,France,49.0135534,2.0623676,"95000 Neuville-sur-Oise, France",,,95000,,,,Neuville-sur-Oise,Val-d'Oise,Ile-de-France,IDF,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1148,Blacksburg,United States,37.2296566,-80.4136767,"Blacksburg, VA, United States of America",,,,,,,Blacksburg,Montgomery County,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1149,Urumqi,China,43.8244074,87.6139038,"Ürümqi, Xinjiang, China",,,,,,,Ürümqi,,Xinjiang,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1150,Sonora,Mexico,19.1120647,-96.6357497,"Sonora (Sonora), Veracruz, Mexico",Sonora,,,,,,Sonora,Comapa,Veracruz,,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1151,Cuernavaca,Mexico,18.9218274,-99.2342282,"62000 Cuernavaca, MOR, Mexico",Cuernavaca,,62000,,,,Cuernavaca,Cuernavaca,Morelos,MOR,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1152,Herne,Germany,51.5380394,7.219985,"Herne, North Rhine-Westphalia, Germany",,,,,,,Herne,,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1153,Malmo,Sweden,55.6052931,13.0001566,"Malmo, Sweden",,,,,,,Malmo,Skåne County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1154,Immokalee,United States,26.4257905,-81.4256005,"Immokalee, FL, United States of America",Immokalee,,,,,,Immokalee,Collier County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1155,Glendale,United States,34.1469416,-118.2478471,"Glendale, CA, United States of America",,,,,,,Glendale,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1156,Belgaum,India,15.8572666,74.5069343,"Belagavi - 590001, KA, India",Belagavi,,590001,,,,Belagavi,Belagavi taluku,Karnataka,KA,India,in,0.42857142857142855,0.42857142857142855,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1157,St Petersburg,United States,27.7700475,-82.6359078,"Saint Petersburg, FL, United States of America",,,,,,,Saint Petersburg,Pinellas County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1158,Commerce,Pakistan,29.321062,68.581141,Pakistan,Pakistan,,,,,,,,,,Pakistan,pk,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1159,Nibong Tebal,Malaysia,5.1700963,100.4785191,"South Seberang Perai District, Nibong Tebal, Penang, Malaysia",Nibong Tebal,,14300,,South Seberang Perai District,,Nibong Tebal,Seberang Perai,Penang,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1160,Falls Church,United States,38.882334,-77.1710914,"Falls Church, VA 22046, United States of America",,,22046,,,,Falls Church,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1161,Selangor Darul Ehsan,Malaysia,3.231313,101.63053,"Selangor, Malaysia",,,,,,,Selangor,Gombak,Selangor,,Malaysia,my,0.33333333333333337,0.33333333333333337,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1162,Mol,Belgium,51.1840421,5.1155267,"2400 Mol, Belgium",,,2400,,,,Mol,Turnhout,Antwerp,,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1163,Norrkoping,Sweden,58.5909124,16.1903511,"602 26 Norrköping, Sweden",Norrköping,,602 26,,,,Norrköping,Östergötland County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1164,Jilin,China,35.679842,105.601599,"Jilin (Jilin), Gansu, China",Jilin,,,,,,Jilin,Jingning County,Gansu,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1165,Phoenix,United States,33.4484367,-112.074141,"Phoenix, AZ, United States of America",,,,,,,Phoenix,Maricopa County,Arizona,AZ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1166,Seongnam,South Korea,37.4201556,127.1262092,"Seongnam-si, South Korea",,,,,,,Seongnam-si,Gyeonggi,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1167,Pleasanton,United States,37.6624312,-121.8746789,"Pleasanton, CA, United States of America",,,,,,,Pleasanton,Alameda County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1168,Palmerston North,New Zealand,-40.356317,175.6112388,"Palmerston North, Manawatū-Whanganui, New Zealand",,,,,,,Palmerston North,,Manawatū-Whanganui,,New Zealand,nz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1169,Ranchi,India,23.3700501,85.3250387,"Ranchi - 834001, JH, India",Ranchi,,834001,,,,Ranchi,Kanke,Jharkhand,JH,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1170,Tirupati,India,13.6316368,79.4231711,"Tirupati - 517500, AP, India",Tirupati,,517500,,,,Tirupati,Tirupati (Urban),Andhra Pradesh,AP,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1171,San Giovanni Rotondo,Italy,41.7069106,15.7288455,"71013 San Giovanni Rotondo, Italy",,,71013,FG,,,San Giovanni Rotondo,Foggia,Apulia,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1172,Katowice,Poland,50.2598987,19.0215852,"Katowice, Silesian Voivodeship, Poland",,,,,,,Katowice,Metropolis GZM,Silesian Voivodeship,,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1173,Bialystok,Poland,53.132398,23.1591679,"Białystok, Podlaskie Voivodeship, Poland",,,,,,,Białystok,,Podlaskie Voivodeship,,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1174,Palermo,Italy,38.1112268,13.3524434,"Palermo, Sicily, Italy",,,,PA,,,Palermo,Palermo,Sicily,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1175,Naypyidaw,Myanmar,19.7540045,96.1344976,"Nay Pyi Taw, 15011, Myanmar",Nay Pyi Taw,,15011,,,,Nay Pyi Taw,,Naypyitaw Union Territory,,Myanmar,mm,0.8888888888888888,0.8888888888888888,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1176,Rutgers,United States,40.490354,-74.422946,"Rutgers, Highland Park, NJ, United States of America",Rutgers,,,,Highland Park,Rutgers,Highland Park,Middlesex County,New Jersey,NJ,United States,us,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1177,Himeji,Japan,34.8153529,134.6854793,"Himeji, Japan",,,,,,,Himeji,Hyogo Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1178,San Antonio,United States,29.4246002,-98.4951405,"San Antonio, TX, United States of America",,,,,,,San Antonio,Bexar County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1179,Petten,Netherlands,52.7685974,4.6626091,"Petten, NH, Netherlands",,,,,,,Petten,,North Holland,NH,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1180,Barendrecht,Netherlands,51.85193795,4.52938352520747,"Barendrecht, ZH, Netherlands",,,,,,,Barendrecht,,South Holland,ZH,Netherlands,nl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1181,Anaheim,United States,33.8347516,-117.911732,"Anaheim, CA, United States of America",,,,,,,Anaheim,Orange County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1182,Hilo,United States,19.7073734,-155.08158,"Hilo, HI 96720, United States of America",Hilo,,96720,,,,Hilo,Hawaiʻi County,Hawaii,HI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1183,Kaohsiung,Taiwan,22.6203348,120.3120375,"Kaohsiung, Taiwan",,,,,,,Kaohsiung,,,,Taiwan,tw,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1184,Tafresh,Iran,34.6927402,50.0146963,"بخش مرکزی تفرش, Tafresh, Markazi Province, Iran",,,,,بخش مرکزی تفرش,,Tafresh,Tafresh County,Markazi Province,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1185,Sa,Viet Nam,21.732568,105.396672,Vietnam,Vietnam,,,,,,,,,,Vietnam,vn,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
1186,Algiers,Algeria,36.7753606,3.0601882,"16007 Alger-Centre (Algiers), Algeria",Algiers,,16007,,,,Algiers,Sidi M'Hamed District,Algiers,,Algeria,dz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1187,Gurugram,India,28.4646148,77.0299194,"Gurugram District, HR, India",,,,,,,Gurugram District,,Haryana,HR,India,in,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1188,Gimhae,South Korea,35.2310947,128.8908228,"Gimhae-si, South Korea",,,,,,,Gimhae-si,South Gyeongsang,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1189,Chuncheon,South Korea,37.8810569,127.7297641,"Chuncheon-si, South Korea",,,,,,,Chuncheon-si,Gangwon State,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1190,Jaipur,India,26.9154576,75.8189817,"Jaipur - 302001, RJ, India",Jaipur,,302001,,,,Jaipur,Jaipur Tehsil,Rajasthan,RJ,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1191,,India,22.3511148,78.6677428,India,,,,,,,,,,,India,in,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
