original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
0,Stanford,United States,37.427467,-122.1702445,"Stanford (Stanford), CA, United States of America",,,Stanford,,,,,Stanford,Santa Clara County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
1,Bangkok,Thailand,13.7524938,100.4935089,"Bangkok, Bangkok 10200, Thailand",,,Bangkok,,,10200,,Bangkok,,Bangkok,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
2,Palo Alto,United States,37.4443293,-122.1598465,"Palo Alto, CA, United States of America",,,,,,,,Palo Alto,Santa Clara County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
3,Baltimore,United States,39.2908816,-76.610759,"Baltimore, MD, United States of America",,,,,,,,Baltimore,,Maryland,MD,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
4,,,,,,,,,,,,,,,,,,,,,,,
5,Hirosaki,Japan,40.6030543,140.4640389,"Hirosaki, Japan",,,,,,,,Hirosaki,Aomori Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
6,Pathum Thani,Thailand,14.0203964,100.5340426,"Pathum Thani Town Municipality, Pathum Thani Province, Thailand",,,,,,,,Pathum Thani Town Municipality,Mueang Pathum Thani District,Pathum Thani Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
7,Nagoya,Japan,35.1851045,136.8998438,"Nagoya, Japan",,,,,,,,Nagoya,Aichi Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
8,Nakhon Ratchasima,Thailand,14.9747339,102.0981161,"Nakhon Ratchasima, Nakhon Ratchasima Province 30000, Thailand",,,Nakhon Ratchasima,,,30000,,Nakhon Ratchasima,,Nakhon Ratchasima Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
9,North Bangkok,Thailand,13.7183216,100.5176805,"Sathon Nuea Road, Bang Rak District, Bangkok 10500, Thailand",,,Sathon Nuea Road,Sathon Nuea Road,,10500,Bang Rak District,Bangkok,,Bangkok,,Thailand,th,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
10,Fort Collins,United States,40.5871782,-105.0770113,"Fort Collins, CO, United States of America",,,,,,,,Fort Collins,Larimer County,Colorado,CO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
11,Houston,United States,29.7589382,-95.3676974,"Houston, TX, United States of America",,,,,,,,Houston,Harris County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12,Milwaukee,United States,43.0349931,-87.922497,"Milwaukee, WI, United States of America",,,,,,,,Milwaukee,Milwaukee County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13,Guangzhou,China,23.1301964,113.2592945,"Guangzhou City, Guangdong Province, China",,,,,,,,Guangzhou City,,Guangdong Province,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
14,Qinhuangdao,China,39.9395724,119.5894129,"Qinhuangdao, Hebei, China",,,,,,,,Qinhuangdao,,Hebei,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
15,Rio de Janeiro,Brazil,-22.9110137,-43.2093727,"Rio de Janeiro, RJ, Brazil",,,,,,,,Rio de Janeiro,Região Metropolitana do Rio de Janeiro,Rio de Janeiro,RJ,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
16,Mount Hamilton,United States,37.3418834,-121.6430017,"Mount Hamilton, Santa Clara County, CA 95140, United States of America",,,Mount Hamilton,,,95140,,,Santa Clara County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
17,Abu Dhabi,United Arab Emirates,24.4538352,54.3774014,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",,,,,,,,Abu Dhabi,,Abu Dhabi Emirate,,United Arab Emirates,ae,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
18,Santa Maria,Brazil,-29.6860512,-53.8069214,"Santa Maria, RS, Brazil",,,,,,,,Santa Maria,Região Geográfica Intermediária de Santa Maria,Rio Grande do Sul,RS,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
19,Madison,United States,43.074761,-89.3837613,"Madison, WI, United States of America",,,,,,,,Madison,Dane County,Wisconsin,WI,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
20,New York,United States,40.7127281,-74.0060152,"New York, NY, United States of America",,,,,,,,New York,,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
21,Oxford,United Kingdom,51.7520131,-1.2578499,"Oxford, ENG, United Kingdom",,,,,OXF,,,Oxford,Oxfordshire,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
22,Portsmouth,United Kingdom,50.800031,-1.0906023,"yes, Portsmouth, ENG, United Kingdom",yes,,,,,,,Portsmouth,,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
23,Beijing,China,39.9057136,116.3912972,"100010 Beijing, China",,,Beijing,,,100010,,Beijing,,Beijing,,China,cn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
24,Tokyo,Japan,35.6821936,139.762221,"Tokyo, Japan",,,,,,,,Tokyo,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
25,Santa Cruz,United States,36.9743626,-122.0294673,"Santa Cruz, CA, United States of America",,,,,,,,Santa Cruz,Santa Cruz County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
26,Cambridge,United States,42.3655767,-71.1040018,"Cambridge, MA, United States of America",,,,,,,,Cambridge,Middlesex County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
27,Lexington,United States,38.0464066,-84.4970393,"Lexington, KY, United States of America",,,,,,,,Lexington,Fayette County,Kentucky,KY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
28,Sunspot,United States,32.7892103,-105.81857,"Sunspot (Sunspot), NM 88349, United States of America",,,Sunspot,,,88349,,Sunspot,Otero County,New Mexico,NM,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
29,Austin,United States,30.2711286,-97.7436995,"Austin, TX, United States of America",,,,,,,,Austin,Travis County,Texas,TX,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
30,Milton Keynes,United Kingdom,52.0406502,-0.7594092,"Milton Keynes, ENG, United Kingdom",,,Milton Keynes,,,,,Milton Keynes,City of Milton Keynes,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
31,Moscow,Russian Federation,55.7505412,37.6174782,"Moscow, Russia",,,Moscow,,,,,Moscow,,Moscow,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
32,Princeton,United States,40.3496953,-74.6597376,"Princeton, NJ, United States of America",,,,,,,,Princeton,Mercer County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
33,,Thailand,14.8971921,100.83273,Thailand,,,,,,,,,,,,Thailand,th,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
34,Charlottesville,United States,38.029306,-78.4766781,"Charlottesville, VA, United States of America",,,,,,,,Charlottesville,,Virginia,VA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
35,Lund,Sweden,55.7029296,13.1929449,"Lund, Sweden",,,,,,,,Lund,Skåne County,,,Sweden,se,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
36,Bristol,United Kingdom,51.4538022,-2.5972985,"Bristol, ENG, United Kingdom",,,Bristol,,BST,,,Bristol,City of Bristol,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
37,Boston,United States,42.3554334,-71.060511,"Boston, MA, United States of America",,,,,,,,Boston,Suffolk County,Massachusetts,MA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
38,Auckland,New Zealand,-36.852095,174.7631803,"Auckland 1010, New Zealand",,,Auckland,,,1010,,Auckland,,Auckland,AUK,New Zealand,nz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
39,Rayong,Thailand,12.6817905,101.277765,"Rayong, Rayong Province 21000, Thailand",,,Rayong,,,21000,,Rayong,,Rayong Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
40,Arica,Chile,-18.4785288,-70.3211394,"Arica, Arica and Parinacota Region, Chile",,,,,,,,Arica,Provincia de Arica,Arica and Parinacota Region,,Chile,cl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
41,Nakhon Pathom,Thailand,13.8190071,100.0639917,"Nakhon Pathom, Nakhon Pathom Province 73000, Thailand",,,Nakhon Pathom,,,73000,,Nakhon Pathom,ลำพยา,Nakhon Pathom Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
42,Surabaya,Indonesia,-7.2459717,112.7378266,"Surabaya, East Java, Indonesia",,,,,,,,Surabaya,,East Java,,Indonesia,id,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
43,Brussels,Belgium,50.8465573,4.351697,"Brussels, Brussels-Capital, Belgium",,,,,,,,Brussels,Brussels-Capital,Brussels-Capital,,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
44,Chaing Mai,Thailand,18.7814227,98.98907792487259,"Chao Pho Phatu Chaing Mai Shrine, Bumrung Buri Road, Chiang Mai, Saraphi District, Chiang Mai Province 55520, Thailand",Saraphi District,,Chao Pho Phatu Chaing Mai Shrine,Bumrung Buri Road,,55520,,Chiang Mai,,Chiang Mai Province,,Thailand,th,0.6666666666666666,0.6666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
45,Kuala Lumpur,Malaysia,3.1516964,101.6942371,"Kuala Lumpur, Malaysia",,,,,,,,Kuala Lumpur,,,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
46,Hatyai,Thailand,6.93409855,100.3879750591064,"HATYAI (HTY) DVOR/DME, ถนนเลียบสนามบิน, Hat Yai, Songkhla Province 90115, Thailand",,,HATYAI (HTY) DVOR/DME,ถนนเลียบสนามบิน,,90115,,Hat Yai,,Songkhla Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
47,Bratislava,Slovakia,48.1516988,17.1093063,"Bratislava, Slovakia",,,,,,,,Bratislava,,Region of Bratislava,,Slovakia,sk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
48,Aachen,Germany,50.776351,6.083862,"Aachen, North Rhine-Westphalia, Germany",,,,,,,,Aachen,Städteregion Aachen,North Rhine-Westphalia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
49,Gif-sur-Yvette,France,48.7018823,2.134529,"91190 Gif-sur-Yvette, France",,,,,,91190,,Gif-sur-Yvette,Essonne,Ile-de-France,IDF,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
50,Tbilisi,Georgia,41.6934591,44.8014495,"Tbilisi, Georgia",,,,,,,,Tbilisi,,,,Georgia,ge,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
51,Belgrade,Serbia,44.8178131,20.4568974,"Belgrade, Central Serbia, Serbia",,,Belgrade,,,,,Belgrade,City of Belgrade,Central Serbia,,Serbia,rs,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
52,Mumbai,India,19.0785451,72.878176,"Mumbai, MH, India",,,,,,,,Mumbai,,Maharashtra,MH,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
53,Pisa,Italy,43.7159395,10.4018624,"Pisa, Tuscany, Italy",,,,,PI,,,Pisa,Pisa,Tuscany,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
54,Athens,Greece,37.9755648,23.7348324,"105 57 Athens, Greece",,,Athens,,,105 57,,Athens,Regional Unit of Central Athens,Attica,,Greece,gr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
55,Hamburg,Germany,53.550341,10.000654,"Hamburg, Germany",,,,,,,,Hamburg,,,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
56,Budapest,Hungary,47.4978789,19.0402383,"Budapest, Central Hungary, Hungary",,,,,,,,Budapest,,Central Hungary,,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
57,Didcot,United Kingdom,51.6056908,-1.2467923,"Didcot (South Oxfordshire), ENG, United Kingdom",,,,,OXF,,,South Oxfordshire,Oxfordshire,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
58,Geneva,Switzerland,46.2017559,6.1466014,"Geneva, Switzerland",,,,,,,,Geneva,,Geneva,,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
59,Gainesville,United States,29.6519684,-82.3249846,"Gainesville, FL, United States of America",,,,,,,,Gainesville,Alachua County,Florida,FL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
60,Daegu,South Korea,35.8713,128.6018,"Daegu, South Korea",,,,,,,,Daegu,,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
61,Zurich,Switzerland,47.3744489,8.5410422,"8000–8099 Zurich, Switzerland",,,,,,8000–8099,,Zurich,District Zurich,Zurich,,Switzerland,ch,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
62,Milan,Italy,45.4641943,9.1896346,"Milan, Lombardy, Italy",,,,,,,,Milan,Milan,Lombardy,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
63,West Lafayette,United States,40.4258686,-86.9080655,"West Lafayette, IN, United States of America",,,,,,,,West Lafayette,Tippecanoe County,Indiana,IN,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
64,Dubna,Russian Federation,56.7362705,37.1623696,"Dubna, Moscow Oblast, Russia, 141980",,,Dubna,,,141980,,Dubna,Dubna,Moscow Oblast,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
65,Debrecen,Hungary,47.531399,21.6259782,"Debrecen, North Great Plain, Hungary",,,,,,,,Debrecen,Hajdú-Bihar,North Great Plain,,Hungary,hu,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
66,Split,Croatia,43.5116383,16.4399659,"Split, Croatia",,,,,,,,Split,Split-Dalmatia County,,,Croatia,hr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
67,Westville,United States,40.0422589,-87.6386322,"Westville, IL, United States of America",,,,,,,,Westville,Vermilion County,Illinois,IL,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
68,New Brunswick,United States,40.4862174,-74.4518173,"New Brunswick, NJ, United States of America",,,,,,,,New Brunswick,Middlesex County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
69,Cairo,Egypt,30.0443879,31.2357257,"Cairo, Egypt",,,Cairo,,,,,Cairo,,Cairo,,Egypt,eg,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
70,Trieste,Italy,45.6496485,13.7772781,"34121-34151 Trieste, Italy",,,,,TS,34121-34151,,Trieste,Trieste,Friuli-Venezia Giulia,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
71,Perugia,Italy,43.1119613,12.3890104,"Perugia, UMB, Italy",,,,,PG,,,Perugia,Perugia,Umbria,UMB,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
72,Genoa,Italy,44.40726,8.9338624,"Genoa, LIG, Italy",,,,,GE,,,Genoa,Genoa,Liguria,LIG,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
73,Bologna,Italy,44.4938203,11.3426327,"Bologna, EMI, Italy",,,,,BO,,,Bologna,Bologna,Emilia-Romagna,EMI,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
74,Catania,Italy,37.5023612,15.0873718,"Catania, Sicily, Italy",,,,,CT,,,Catania,Catania,Sicily,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
75,Bari,Italy,41.1257843,16.8620293,"Bari, Apulia, Italy",,,,,BA,,,Bari,Bari,Apulia,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
76,Bicocca,Italy,45.5151365,9.2122056,"Bicocca, Milan, Lombardy, Italy",,,Bicocca,,,20126,Bicocca,Milan,Milan,Lombardy,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
77,Turin,Italy,45.0677551,7.6824892,"Turin, Piedmont, Italy",,,,,TO,,,Turin,Torino,Piedmont,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
78,Pavia,Italy,45.1860043,9.1546375,"27100 Pavia, Italy",,,,,PV,27100,,Pavia,Pavia,Lombardy,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
79,Sesto Fiorentino,Italy,43.831721,11.1992239,"Sesto Fiorentino, Tuscany, Italy",,,,,,,,Sesto Fiorentino,Florence,Tuscany,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
80,Otwock,Poland,52.1041197,21.2681092,"Otwock, Masovian Voivodeship, Poland",,,,,,,,Otwock,Otwock County,Masovian Voivodeship,,Poland,pl,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
81,Naples,Italy,40.8358846,14.2487679,"Naples, CAM, Italy",,,,,NA,,,Naples,Napoli,Campania,CAM,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
82,Padua,Italy,45.4077172,11.8734455,"35121-35143 Padua, Italy",,,,,,35121-35143,,Padua,Province of Padua,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
83,Solan,India,30.9077569,77.1023645,"Solan - 173212, HP, India",,,Solan,,,173212,,Solan,Solan,Himachal Pradesh,HP,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
84,Bhubaneswar,India,20.2602964,85.8394521,"Bhubaneshwar - 751001, OR, India",,,Bhubaneshwar,,,751001,,Bhubaneshwar,Bhubaneswar (M.Corp.),Odisha,OR,India,in,0.825,0.825,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
85,Tehran,Iran,35.6892523,51.3896004,"بخش مرکزی شهرستان تهران, Tehran, Iran",بخش مرکزی شهرستان تهران,,,,,,,Tehran,Tehran County,,,Iran,ir,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
86,Meram,Turkey,37.8679527,32.4946514,"Meram, Central Anatolia Region, Turkey",,,,,,,,Meram,Konya,Central Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
87,Sinop,Turkey,42.0265798,35.1511512,"57002 Sinop, Turkey",,,,,,57002,,Sinop,Sinop,Black Sea Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
88,Istanbul,Turkey,41.006381,28.9758715,"34122 Fatih (Istanbul), Turkey",,,Istanbul,,,34122,,Istanbul,Istanbul,Marmara Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
89,Bingol,Turkey,38.8861265,40.4972333,"12000 Bingöl, Turkey",,,,,,12000,,Bingöl,Bingöl,Eastern Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
90,Kharkiv,Ukraine,49.9923181,36.2310146,"Kharkiv Raion, Kharkiv, Kharkiv Oblast, Ukraine",Kharkiv Raion,,,,,,,Kharkiv,,Kharkiv Oblast,,Ukraine,ua,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
91,Pune,India,18.521428,73.8544541,"Pune, MH, India",,,,,,,,Pune,Pune,Maharashtra,MH,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
92,Strasbourg,France,48.584614,7.7507127,"Strasbourg, GES, France",,,,,,,,Strasbourg,Bas-Rhin,Grand Est,GES,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
93,Adiyaman,Turkey,37.7602379,38.2772662,"Adıyaman, Southeastern Anatolia Region, Turkey",,,,,,,,Adıyaman,Adıyaman,Southeastern Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
94,Erzincan,Turkey,39.7467552,39.49103,"24180 Erzincan, Turkey",,,Erzincan,,,24180,,Erzincan,Erzincan Merkez,Eastern Anatolia Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
95,Doha,Qatar,25.2856329,51.5264162,"Doha, Qatar",,,,,,,,Doha,,,,Qatar,qa,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
96,Quito,Ecuador,-0.2201641,-78.5123274,"170130, Quito, Ecuador",,,Quito,,,170130,,Quito,Quito Canton,Pichincha,P,Ecuador,ec,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
97,Mayaguez,Puerto Rico,18.20151,-67.139711,"Mayagüez, Puerto Rico, United States of America",,,,,,,,Mayagüez,Mayagüez,,,,pr,1,1,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
98,Nicosia,Cyprus,35.1746503,33.3638783,"1011 Nicosia, Cyprus",,,Nicosia,,,1011,,Nicosia,Nicosia District,Cyprus,,Cyprus,cy,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
99,Galle,Sri Lanka,6.0328139,80.214955,"Galle, Southern Province, Sri Lanka",,,,,,,,Galle,Galle District,Southern Province,,Sri Lanka,lk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
100,Riga,Latvia,56.9493977,24.1051846,"Riga, Latvia",,,,,,,,Riga,,,,Latvia,lv,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
101,Yerevan,Armenia,40.1777112,44.5126233,"Yerevan, Armenia",,,,,,,,Yerevan,,,,Armenia,am,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
102,Tallinn,Estonia,59.4372155,24.7453688,"Tallinn, Estonia",,,,,,,,Tallinn,Harju maakond,,,Estonia,ee,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
103,Protvino,Russian Federation,54.8707703,37.2188629,"Protvino, Moscow Oblast, Russia",,,Protvino,,,,,Protvino,городской округ Серпухов,Moscow Oblast,,Russia,ru,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
104,Islamabad,Pakistan,33.6938118,73.0651511,"Islamabad 44000, Pakistan",,,Islamabad,,,44000,,Islamabad,,Islamabad Capital Territory,,Pakistan,pk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
105,Minsk,Belarus,53.9024716,27.5618225,"Minsk, Belarus",,,,,,,,Minsk,,,,Belarus,by,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
106,Vilnius,Lithuania,54.6870458,25.2829111,"Vilnius, Vilnius County, Lithuania",,,,,,,,Vilnius,Vilnius city municipality,Vilnius County,,Lithuania,lt,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
107,Bogota,Colombia,4.6529539,-74.0835643,"Bogota, RAP (Especial) Central, Colombia",,,,,,,,Bogota,,RAP (Especial) Central,,Colombia,co,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
108,Ghent,Belgium,51.0538286,3.7250121,"Ghent, East Flanders, Belgium",,,,,,,,Ghent,Gent,East Flanders,,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
109,Adana,Turkey,36.9863599,35.3252861,"01010 Seyhan (Adana), Turkey",,,Adana,,,01010,,Adana,Adana,Mediterranean Region,,Turkey,tr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
110,Rome,Italy,41.8933203,12.4829321,"Rome, LAZ, Italy",,,,,,,,Rome,Roma Capitale,Lazio,LAZ,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
111,Buffalo,United States,42.8867166,-78.8783922,"Buffalo, NY, United States of America",,,,,,,,Buffalo,Erie County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
112,Pasadena,United States,34.1476507,-118.144155,"Pasadena, CA, United States of America",,,,,,,,Pasadena,Los Angeles County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
113,San Luis Potosí,Mexico,22.1516472,-100.9763993,"78339 San Luis Potosí City, SLP, Mexico",,,San Luis Potosí City,,,78339,,San Luis Potosí City,Municipio de San Luis Potosí,San Luis Potosí,SLP,Mexico,mx,0.9,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
114,San Diego,United States,32.7174202,-117.162772,"San Diego, CA, United States of America",,,,,,,,San Diego,San Diego County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
115,Helsinki,Finland,60.1674881,24.9427473,"Helsinki, Mainland Finland, Finland",,,,,,,,Helsinki,Uusimaa,Mainland Finland,,Finland,fi,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
116,Campinas,Brazil,-22.9056391,-47.059564,"Campinas, SP, Brazil",,,,,,,,Campinas,Região Metropolitana de Campinas,São Paulo,SP,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
117,Kolkata,India,22.5726459,88.3638953,"Kolkata, WB, India",,,,,,,,Kolkata,Kolkata District,West Bengal,WB,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
