original_,original_affiliation-city,original_affiliation-country,lat,lon,formatted,district,housenumber,name,street,county_code,postcode,suburb,city,county,state,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
411,Sakon Nakhon,Thailand,17.1651224,104.1500731,"Sakon Nakhon, Sakon Nakhon Province 47000, Thailand",,,Sakon Nakhon,,,47000,,Sakon Nakhon,,Sakon Nakhon Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
412,Chonburi,Thailand,13.3662087,100.9872185,"Chon Buri, Chon Buri Province 20000, Thailand",,,Chon Buri,,,20000,,Chon Buri,,Chon Buri Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
413,Pelotas,Brazil,-31.7699736,-52.3410161,"Pelotas, RS, Brazil",,,,,,,,Pelotas,Aglomeração Urbana do Sul,Rio Grande do Sul,RS,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
414,Jena,Germany,50.9281717,11.5879359,"Jena, Thuringia, Germany",,,,,,,,Jena,,Thuringia,,Germany,de,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
415,Nottingham,United Kingdom,52.9534193,-1.1496461,"Nottingham, ENG, United Kingdom",,,,,NTT,,,Nottingham,Nottinghamshire,England,ENG,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
416,Sao Carlos,Brazil,-22.0180395,-47.891154,"São Carlos, SP, Brazil",,,,,,,,São Carlos,Região Geográfica Intermediária de Araraquara,São Paulo,SP,Brazil,br,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
417,Hanover,United States,43.703622,-72.288666,"Hanover, NH, United States of America",,,,,,,,Hanover,Grafton County,New Hampshire,NH,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
418,Tashkent,Uzbekistan,41.3123363,69.2787079,"Tashkent, Uzbekistan, 100000",,,,,,100000,,Tashkent,,,,Uzbekistan,uz,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
419,Legnaro,Italy,45.345648,11.963935,"35020 Legnaro, Italy",,,,,,35020,,Legnaro,Province of Padua,Veneto,VEN,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
420,Pathumtani,Thailand,15.512883,101.301707,Thailand,,,Thailand,,,,,,,,,Thailand,th,0.25,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
421,Maiduguri,Nigeria,11.8395375,13.1536214,"Maiduguri 600233, Borno State, Nigeria",,,,,,600233,,Maiduguri,,Borno State,,Nigeria,ng,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
422,Cluj Napoca,Romania,46.769379,23.5899542,"Cluj-Napoca, Romania",,,,,,,,Cluj-Napoca,Cluj,,,Romania,ro,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
423,Columbia,United States,34.0003117,-81.0331309,"Columbia, SC, United States of America",,,,,,,,Columbia,Richland County,South Carolina,SC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
424,Kobe,Japan,34.6932379,135.1943764,"Kobe, Japan",,,,,,,,Kobe,Hyogo Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
425,Raleigh,United States,35.7803977,-78.6390989,"Raleigh, NC, United States of America",,,,,,,,Raleigh,Wake County,North Carolina,NC,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
426,Calgary,Canada,51.0456064,-114.057541,"Calgary, AB, Canada",,,,,,,,Calgary,,Alberta,AB,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
427,,Australia,-24.7761086,134.755,Australia,,,,,,,,,,,,Australia,au,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
428,Bendigo,Australia,-36.7590183,144.2826718,"Bendigo VIC 3550, Australia",,,Bendigo,,,3550,,Bendigo,,Victoria,VIC,Australia,au,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
429,San Nicolas de los Garza,Mexico,25.7558021,-100.289648,"66400 San Nicolás de los Garza, NLE, Mexico",,,San Nicolás de los Garza,,,66400,,San Nicolás de los Garza,San Nicolás de los Garza,Nuevo León,NLE,Mexico,mx,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
430,Bandar Seri Begawan,Brunei Darussalam,4.8895453,114.9417574,"Brunei-Muara District, Bandar Seri Begawan, Brunei",Brunei-Muara District,,Bandar Seri Begawan,,,BS8711,,Bandar Seri Begawan,,,,Brunei,bn,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
431,Riyadh,Saudi Arabia,24.638916,46.7160104,"Riyadh 11131, Saudi Arabia",,,Riyadh,,,11131,,Riyadh,Riyadh governorate,Riyadh Region,,Saudi Arabia,sa,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
432,Roslin,United Kingdom,55.8573199,-3.1645521,"Roslin (Roslin), EH25 9LD, United Kingdom",,,Roslin,,MLN,EH25 9LD,,Roslin,Midlothian,Scotland,SCT,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
433,Maisons-Alfort,France,48.8012045,2.4309703,"94700 Maisons-Alfort, France",,,,,,94700,,Maisons-Alfort,Val-de-Marne,Ile-de-France,IDF,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
434,Novara,Italy,45.4464036,8.619655,"28100 Novara, Italy",,,,,NO,28100,,Novara,Novara,Piedmont,,Italy,it,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
435,Rockville,United States,39.0817985,-77.1516844,"Rockville, MD, United States of America",,,,,,,,Rockville,Montgomery County,Maryland,MD,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
436,San Jose,United States,37.3361663,-121.890591,"San Jose, CA, United States of America",,,,,,,,San Jose,Santa Clara County,California,CA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
437,Belfast,United Kingdom,54.596391,-5.9301829,"Belfast, NIR, United Kingdom",,,Belfast,,,,,Belfast,County Antrim,Northern Ireland,NIR,United Kingdom,gb,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
438,Aarhus,Denmark,56.1496278,10.2134046,"8000 Aarhus, Denmark",,,Aarhus,,,8000,,Aarhus,,Central Denmark Region,,Denmark,dk,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
439,Quezon City,Philippines,14.6510546,121.0486254,"Quezon City, 1100 Metro Manila, Philippines",,,,,,1100,,Quezon City,Eastern Manila District,Metro Manila,,Philippines,ph,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
440,Madurai,India,9.9261153,78.1140983,"Madurai, TN, India",,,,,,,,Madurai,Madurai South,Tamil Nadu,TN,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
441,Yonago,Japan,35.4276408,133.331459,"Yonago, Japan",,,,,,,,Yonago,Tottori Prefecture,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
442,Hyderabad,India,17.360589,78.4740613,"Hyderabad, TG, India",,,,,,,,Hyderabad,Bahadurpura mandal,Telangana,TG,India,in,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
443,,China,35.000074,104.999927,China,,,,,,,,,,,,China,cn,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
444,Kajang,Malaysia,2.9948437,101.7896595,"Hulu Langat, Kajang Municipal Council, Selangor, Malaysia",Hulu Langat,,,,,,,Kajang Municipal Council,,Selangor,,Malaysia,my,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
445,Rolla,United States,37.9509324,-91.7708076,"Rolla, MO, United States of America",,,,,,,,Rolla,Phelps County,Missouri,MO,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
446,London,Canada,42.9832406,-81.243372,"London, ON N6A 3N7, Canada",,,London,,,N6A 3N7,,London,,Ontario,ON,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
447,Bartlesville,United States,36.7421089,-95.9528877,"Bartlesville, OK, United States of America",,,,,,,,Bartlesville,Washington County,Oklahoma,OK,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
448,Bengkulu City,Indonesia,-3.817417,102.317951,"Bengkulu, Indonesia",,,,,,,,Bengkulu,Bengkulu,Bengkulu,,Indonesia,id,0.9,0.9,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
449,Izumi,Japan,34.43108,135.474789,"Izumi, Osaka Prefecture, Japan",,,,,,,,Izumi,,Osaka Prefecture,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
450,Leoben,Austria,47.3805128,15.0947756,"Leoben, Styria, Austria",,,,,,,,Leoben,Bezirk Leoben,Styria,,Austria,at,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
451,Nanterre,France,48.8924273,2.2071267,"92000 Nanterre, France",,,,,,92000,,Nanterre,Hauts-de-Seine,Ile-de-France,IDF,France,fr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
452,Malvern,United States,41.0024095,-95.5851939,"Malvern, IA, United States of America",,,,,,,,Malvern,Mills County,Iowa,IA,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
453,Loudonville,United States,42.7048009,-73.7548424,"Loudonville, NY, United States of America",,,,,,,,Loudonville,Albany County,New York,NY,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
454,Portland,United States,45.5202471,-122.674194,"Portland, OR, United States of America",,,,,,,,Portland,Multnomah County,Oregon,OR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
455,Mons,Belgium,50.4549568,3.951958,"Mons, WHT, Belgium",,,,,,,,Mons,Mons,Hainaut,WHT,Belgium,be,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
456,Chiang Rai,Thailand,19.9068867,99.8332739,"Chiang Rai, Chiang Rai Province 57000, Thailand",,,Chiang Rai,,,57000,,Chiang Rai,,Chiang Rai Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
457,Vancouver,Canada,49.2608724,-123.113952,"Vancouver, BC, Canada",,,,,,,,Vancouver,Metro Vancouver Regional District,British Columbia,BC,Canada,ca,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
458,Phra Nakhon si Ayutthaya,Thailand,14.3535427,100.5645684,"Phra Nakhon Si Ayutthaya City Municipality, Phra Nakhon Si Ayutthaya Province 13000, Thailand",,,,,,13000,,Phra Nakhon Si Ayutthaya City Municipality,Phra Nakhon Si Ayutthaya District,Phra Nakhon Si Ayutthaya Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
459,Corvallis,United States,44.5645659,-123.2620435,"Corvallis, OR, United States of America",,,,,,,,Corvallis,Benton County,Oregon,OR,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
460,Nakhon Phanom,Thailand,17.4032326,104.7853098,"Nakhon Phanom, Nakhon Phanom Province 48000, Thailand",,,Nakhon Phanom,,,48000,,Nakhon Phanom,,Nakhon Phanom Province,,Thailand,th,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
461,Newark,United States,40.735657,-74.1723667,"Newark, NJ, United States of America",,,,,,,,Newark,Essex County,New Jersey,NJ,United States,us,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
462,Hachioji,Japan,35.660175,139.283071,"Hachioji, Japan",,,,,,,,Hachioji,,,,Japan,jp,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
463,Icel,Turkey,36.7978381,34.6298391,"33060 Akdeniz (Mersin), Turkey",,,Mersin,,,33060,,Mersin,Mersin,Mediterranean Region,,Turkey,tr,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
464,Jeonju,South Korea,35.8237631,127.1472805,"Jeonju-si, South Korea",,,,,,,,Jeonju-si,Jeonbuk State,,,South Korea,kr,1,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
